owner,fish_id,master_csv,conf_func_csv,ring,plot_order,bpi_category,identity_bucket,count,n_total_responsive
Matilde,L396_f04,/Volumes/jlarsch/default/D2c/07_Data/Matilde/Microscopy/L396_f04/03_analysis/functional/registration/functional_roi_activity_identity.csv,/Volumes/jlarsch/default/D2c/07_Data/Matilde/Microscopy/L396_f04/03_analysis/functional/registration/conf_to_func_pairs.csv,outer,0,bout-responsive,sst1.1,1,785
Matilde,L396_f04,/Volumes/jlarsch/default/D2c/07_Data/Matilde/Microscopy/L396_f04/03_analysis/functional/registration/functional_roi_activity_identity.csv,/Volumes/jlarsch/default/D2c/07_Data/Matilde/Microscopy/L396_f04/03_analysis/functional/registration/conf_to_func_pairs.csv,outer,1,bout-responsive,npy,4,785
Matilde,L396_f04,/Volumes/jlarsch/default/D2c/07_Data/Matilde/Microscopy/L396_f04/03_analysis/functional/registration/functional_roi_activity_identity.csv,/Volumes/jlarsch/default/D2c/07_Data/Matilde/Microscopy/L396_f04/03_analysis/functional/registration/conf_to_func_pairs.csv,outer,2,bout-responsive,tac3b,1,785
Matilde,L396_f04,/Volumes/jlarsch/default/D2c/07_Data/Matilde/Microscopy/L396_f04/03_analysis/functional/registration/functional_roi_activity_identity.csv,/Volumes/jlarsch/default/D2c/07_Data/Matilde/Microscopy/L396_f04/03_analysis/functional/registration/conf_to_func_pairs.csv,outer,3,bout-responsive,pth2,2,785
Matilde,L396_f04,/Volumes/jlarsch/default/D2c/07_Data/Matilde/Microscopy/L396_f04/03_analysis/functional/registration/functional_roi_activity_identity.csv,/Volumes/jlarsch/default/D2c/07_Data/Matilde/Microscopy/L396_f04/03_analysis/functional/registration/conf_to_func_pairs.csv,outer,4,bout-responsive,sst1.1/sst1.2,2,785
Matilde,L396_f04,/Volumes/jlarsch/default/D2c/07_Data/Matilde/Microscopy/L396_f04/03_analysis/functional/registration/functional_roi_activity_identity.csv,/Volumes/jlarsch/default/D2c/07_Data/Matilde/Microscopy/L396_f04/03_analysis/functional/registration/conf_to_func_pairs.csv,outer,5,bout-responsive,unidentified,203,785
Matilde,L396_f04,/Volumes/jlarsch/default/D2c/07_Data/Matilde/Microscopy/L396_f04/03_analysis/functional/registration/functional_roi_activity_identity.csv,/Volumes/jlarsch/default/D2c/07_Data/Matilde/Microscopy/L396_f04/03_analysis/functional/registration/conf_to_func_pairs.csv,outer,6,continuous-responsive,unidentified,13,785
Matilde,L396_f04,/Volumes/jlarsch/default/D2c/07_Data/Matilde/Microscopy/L396_f04/03_analysis/functional/registration/functional_roi_activity_identity.csv,/Volumes/jlarsch/default/D2c/07_Data/Matilde/Microscopy/L396_f04/03_analysis/functional/registration/conf_to_func_pairs.csv,outer,7,both-responsive,sst1.1,1,785
Matilde,L396_f04,/Volumes/jlarsch/default/D2c/07_Data/Matilde/Microscopy/L396_f04/03_analysis/functional/registration/functional_roi_activity_identity.csv,/Volumes/jlarsch/default/D2c/07_Data/Matilde/Microscopy/L396_f04/03_analysis/functional/registration/conf_to_func_pairs.csv,outer,8,both-responsive,sst1.2,1,785
Matilde,L396_f04,/Volumes/jlarsch/default/D2c/07_Data/Matilde/Microscopy/L396_f04/03_analysis/functional/registration/functional_roi_activity_identity.csv,/Volumes/jlarsch/default/D2c/07_Data/Matilde/Microscopy/L396_f04/03_analysis/functional/registration/conf_to_func_pairs.csv,outer,9,both-responsive,npy,1,785
Matilde,L396_f04,/Volumes/jlarsch/default/D2c/07_Data/Matilde/Microscopy/L396_f04/03_analysis/functional/registration/functional_roi_activity_identity.csv,/Volumes/jlarsch/default/D2c/07_Data/Matilde/Microscopy/L396_f04/03_analysis/functional/registration/conf_to_func_pairs.csv,outer,10,both-responsive,sst1.1/sst1.2,1,785
Matilde,L396_f04,/Volumes/jlarsch/default/D2c/07_Data/Matilde/Microscopy/L396_f04/03_analysis/functional/registration/functional_roi_activity_identity.csv,/Volumes/jlarsch/default/D2c/07_Data/Matilde/Microscopy/L396_f04/03_analysis/functional/registration/conf_to_func_pairs.csv,outer,11,both-responsive,npy/pth2,1,785
Matilde,L396_f04,/Volumes/jlarsch/default/D2c/07_Data/Matilde/Microscopy/L396_f04/03_analysis/functional/registration/functional_roi_activity_identity.csv,/Volumes/jlarsch/default/D2c/07_Data/Matilde/Microscopy/L396_f04/03_analysis/functional/registration/conf_to_func_pairs.csv,outer,12,both-responsive,unidentified,114,785
Matilde,L396_f04,/Volumes/jlarsch/default/D2c/07_Data/Matilde/Microscopy/L396_f04/03_analysis/functional/registration/functional_roi_activity_identity.csv,/Volumes/jlarsch/default/D2c/07_Data/Matilde/Microscopy/L396_f04/03_analysis/functional/registration/conf_to_func_pairs.csv,outer,13,weak-response,sst1.1,5,785
Matilde,L396_f04,/Volumes/jlarsch/default/D2c/07_Data/Matilde/Microscopy/L396_f04/03_analysis/functional/registration/functional_roi_activity_identity.csv,/Volumes/jlarsch/default/D2c/07_Data/Matilde/Microscopy/L396_f04/03_analysis/functional/registration/conf_to_func_pairs.csv,outer,14,weak-response,npy,4,785
Matilde,L396_f04,/Volumes/jlarsch/default/D2c/07_Data/Matilde/Microscopy/L396_f04/03_analysis/functional/registration/functional_roi_activity_identity.csv,/Volumes/jlarsch/default/D2c/07_Data/Matilde/Microscopy/L396_f04/03_analysis/functional/registration/conf_to_func_pairs.csv,outer,15,weak-response,pth2,3,785
Matilde,L396_f04,/Volumes/jlarsch/default/D2c/07_Data/Matilde/Microscopy/L396_f04/03_analysis/functional/registration/functional_roi_activity_identity.csv,/Volumes/jlarsch/default/D2c/07_Data/Matilde/Microscopy/L396_f04/03_analysis/functional/registration/conf_to_func_pairs.csv,outer,16,weak-response,sst1.1/pth2,1,785
Matilde,L396_f04,/Volumes/jlarsch/default/D2c/07_Data/Matilde/Microscopy/L396_f04/03_analysis/functional/registration/functional_roi_activity_identity.csv,/Volumes/jlarsch/default/D2c/07_Data/Matilde/Microscopy/L396_f04/03_analysis/functional/registration/conf_to_func_pairs.csv,outer,17,weak-response,unidentified,427,785
