dataset,z_um,y_um,x_um
2P (mCherry),41.101190476190474,148.574181,95.97255412500002
2P (mCherry),43.722772277227726,384.37427190594065,257.8669437178218
2P (mCherry),38.292682926829265,387.659630195122,388.5482846341464
2P (mCherry),39.774193548387096,15.856287774193548,29.15206316129032
2P (mCherry),39.91228070175438,63.45847384210527,68.49794073684211
2P (mCherry),42.148648648648646,166.35701164864867,98.25930833108109
2P (mCherry),38.9,381.55727190000005,362.1362052
2P (mCherry),40.57142857142857,111.99993,87.64807800000001
2P (mCherry),46.26086956521739,379.8288804130435,342.7646423478261
2P (mCherry),41.38461538461539,419.4843638461538,80.29342784615385
2P (mCherry),44.833333333333336,171.425342375,98.29814050000002
2P (mCherry),43.36363636363637,409.4778278181818,441.2695846363637
2P (mCherry),47.6256323777403,179.49048139629005,96.78139396290051
2P (mCherry),45.769820971867006,203.92590113554988,96.31368793350384
2P (mCherry),48.5111821086262,253.03999138658148,85.17535805750799
2P (mCherry),44.76923076923077,275.5133930769231,318.3209841538462
2P (mCherry),50.96174863387978,281.6588857049181,70.77677064480875
2P (mCherry),44.71186440677966,317.84538823728815,50.64926857627119
2P (mCherry),52.030181086519114,390.48774612676056,391.3013509014085
2P (mCherry),47.4,24.571824200000002,35.502273800000005
2P (mCherry),47.723076923076924,165.95865784615384,95.82160624615385
2P (mCherry),50.15451895043732,227.1429522857143,91.365918
2P (mCherry),50.04264392324094,242.23808480597017,87.2735194925373
2P (mCherry),49.530249110320284,262.5433423558719,81.10894651601424
2P (mCherry),53.6793893129771,330.36201201526717,34.47303283969466
2P (mCherry),46.8235294117647,379.4657135294118,335.60613635294123
2P (mCherry),57.8875968992248,381.82685132558146,285.3784443023256
2P (mCherry),47.26086956521739,381.6039469565217,352.86342730434785
2P (mCherry),50.06622516556291,118.80960945695365,86.72231121854304
2P (mCherry),48.10526315789474,391.7086872631579,232.81994621052635
2P (mCherry),47.333333333333336,402.2578952,206.789359
2P (mCherry),56.850467289719624,10.437314607476635,11.527258471962618
2P (mCherry),51.21875,123.29286900000001,87.49849303125
2P (mCherry),54.208,195.301109472,92.39352897600001
